"rok","prumerna_mzda","nazev_odvetvi"
2009,11783,"Ubytování, stravování a pohostinství"
2009,20577,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2009,26555,Veřejná správa a obrana; povinné sociální zabezpečení
2009,38207,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2009,21361,Vzdělávání
2009,21638,Zásobování vodou; činnosti související s odpady a sanacemi
2009,21627,Zdravotní a sociální péče
2009,17193,"Zemědělství, lesnictví, rybářství"
2009,21825,Zpracovatelský průmysl
2010,15222,Administrativní a podpůrné činnosti
2010,20265,Činnosti v oblasti nemovitostí
2010,22740,Doprava a skladování
2010,42807,Informační a komunikační činnosti
2010,18611,"Kulturní, zábavní a rekreační činnosti"
2010,16804,Ostatní činnosti
2010,45340,Peněžnictví a pojišťovnictví
2010,30095,"Profesní, vědecké a technické činnosti"
2010,21962,Stavebnictví
2010,30204,Těžba a dobývání
2010,12645,"Ubytování, stravování a pohostinství"
2010,21211,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2010,26471,Veřejná správa a obrana; povinné sociální zabezpečení
2010,38840,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2010,20928,Vzdělávání
2010,22594,Zásobování vodou; činnosti související s odpady a sanacemi
2010,22286,Zdravotní a sociální péče
2010,18020,"Zemědělství, lesnictví, rybářství"
2010,22681,Zpracovatelský průmysl
2011,15509,Administrativní a podpůrné činnosti
2011,21084,Činnosti v oblasti nemovitostí
2011,22756,Doprava a skladování
2011,44265,Informační a komunikační činnosti
2011,18562,"Kulturní, zábavní a rekreační činnosti"
2011,17611,Ostatní činnosti
2011,46569,Peněžnictví a pojišťovnictví
2011,30476,"Profesní, vědecké a technické činnosti"
2011,22494,Stavebnictví
2011,31446,Těžba a dobývání
2011,12431,"Ubytování, stravování a pohostinství"
2011,21864,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2011,25887,Veřejná správa a obrana; povinné sociální zabezpečení
2011,39845,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2011,21502,Vzdělávání
2011,22753,Zásobování vodou; činnosti související s odpady a sanacemi
2011,23176,Zdravotní a sociální péče
2011,18674,"Zemědělství, lesnictví, rybářství"
2011,23501,Zpracovatelský průmysl
2012,15935,Administrativní a podpůrné činnosti
2012,21439,Činnosti v oblasti nemovitostí
2012,22999,Doprava a skladování
2012,45690,Informační a komunikační činnosti
2012,19551,"Kulturní, zábavní a rekreační činnosti"
2012,17853,Ostatní činnosti
2012,49707,Peněžnictví a pojišťovnictví
2012,31141,"Profesní, vědecké a technické činnosti"
2012,22572,Stavebnictví
2012,32487,Těžba a dobývání
2012,12706,"Ubytování, stravování a pohostinství"
2012,22441,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2012,26285,Veřejná správa a obrana; povinné sociální zabezpečení
2012,42107,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2012,21913,Vzdělávání
2012,23262,Zásobování vodou; činnosti související s odpady a sanacemi
2012,23622,Zdravotní a sociální péče
2012,19537,"Zemědělství, lesnictví, rybářství"
2012,24222,Zpracovatelský průmysl
2013,16026,Administrativní a podpůrné činnosti
2013,21094,Činnosti v oblasti nemovitostí
2013,23127,Doprava a skladování
2013,45240,Informační a komunikační činnosti
2013,19293,"Kulturní, zábavní a rekreační činnosti"
2013,17902,Ostatní činnosti
