"rok","prum_cena_potravina","nazev_potravina"
2017,45.0,Rajská jablka červená kulatá
2017,94.0,Rostlinný roztíratelný tuk
2017,36.0,Rýže loupaná dlouhozrnná
2017,142.0,Šunkový salám
2017,47.0,Těstoviny vaječné
2017,36.0,Vejce slepičí čerstvá
2017,118.0,Vepřová pečeně s kostí
2018,29.0,Banány žluté
2018,16.0,Cukr krystalový
2018,142.0,Eidamská cihla
2018,223.0,Hovězí maso zadní bez kosti
2018,24.0,Chléb konzumní kmínový
2018,36.0,Jablka konzumní
2018,100.0,Jakostní víno bílé
2018,9.0,Jogurt bílý netučný
2018,93.0,Kapr živý
2018,15.0,Konzumní brambory
2018,69.0,Kuřata kuchaná celá
2018,207.0,Máslo
2018,20.0,Mléko polotučné pasterované
2018,22.0,Mrkev
2018,60.0,Papriky
2018,44.0,Pečivo pšeničné bílé
2018,12.0,"Pivo výčepní, světlé, lahvové"
2018,37.0,Pomeranče
2018,9.0,Přírodní minerální voda uhličitá
2018,11.0,Pšeničná mouka hladká
2018,44.0,Rajská jablka červená kulatá
2018,99.0,Rostlinný roztíratelný tuk
2018,36.0,Rýže loupaná dlouhozrnná
2018,145.0,Šunkový salám
2018,48.0,Těstoviny vaječné
2018,38.0,Vejce slepičí čerstvá
2018,117.0,Vepřová pečeně s kostí
