"rok","odvetvi","prumerna_mzda","potravina_nazev","potravina_prum_cena"
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Kapr živý,69.0
2006,Peněžnictví a pojišťovnictví,39353,Konzumní brambory,12.0
2006,Doprava a skladování,18994,Konzumní brambory,12.0
2006,Zdravotní a sociální péče,17974,Konzumní brambory,12.0
2006,Vzdělávání,18197,Konzumní brambory,12.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Konzumní brambory,12.0
2006,Ostatní činnosti,14955,Konzumní brambory,12.0
2006,Činnosti v oblasti nemovitostí,17551,Konzumní brambory,12.0
2006,Administrativní a podpůrné činnosti,13414,Konzumní brambory,12.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Konzumní brambory,12.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Konzumní brambory,12.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Konzumní brambory,12.0
2006,Těžba a dobývání,24018,Konzumní brambory,12.0
2006,"Ubytování, stravování a pohostinství",11106,Konzumní brambory,12.0
2006,Zpracovatelský průmysl,18277,Konzumní brambory,12.0
2006,Stavebnictví,17644,Konzumní brambory,12.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Konzumní brambory,12.0
2006,"Zemědělství, lesnictví, rybářství",14421,Konzumní brambory,12.0
2006,"Profesní, vědecké a technické činnosti",23106,Konzumní brambory,12.0
2006,Informační a komunikační činnosti,34942,Konzumní brambory,12.0
2006,Zpracovatelský průmysl,18277,Kuřata kuchaná celá,47.0
2006,Stavebnictví,17644,Kuřata kuchaná celá,47.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Kuřata kuchaná celá,47.0
2006,"Zemědělství, lesnictví, rybářství",14421,Kuřata kuchaná celá,47.0
2006,"Profesní, vědecké a technické činnosti",23106,Kuřata kuchaná celá,47.0
2006,Informační a komunikační činnosti,34942,Kuřata kuchaná celá,47.0
2006,Peněžnictví a pojišťovnictví,39353,Kuřata kuchaná celá,47.0
2006,Doprava a skladování,18994,Kuřata kuchaná celá,47.0
2006,Zdravotní a sociální péče,17974,Kuřata kuchaná celá,47.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Kuřata kuchaná celá,47.0
2006,Ostatní činnosti,14955,Kuřata kuchaná celá,47.0
2006,Činnosti v oblasti nemovitostí,17551,Kuřata kuchaná celá,47.0
2006,Vzdělávání,18197,Kuřata kuchaná celá,47.0
2006,Administrativní a podpůrné činnosti,13414,Kuřata kuchaná celá,47.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Kuřata kuchaná celá,47.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Kuřata kuchaná celá,47.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Kuřata kuchaná celá,47.0
2006,Těžba a dobývání,24018,Kuřata kuchaná celá,47.0
2006,"Ubytování, stravování a pohostinství",11106,Kuřata kuchaná celá,47.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Máslo,104.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Máslo,104.0
2006,Těžba a dobývání,24018,Máslo,104.0
2006,"Ubytování, stravování a pohostinství",11106,Máslo,104.0
2006,Zpracovatelský průmysl,18277,Máslo,104.0
2006,Stavebnictví,17644,Máslo,104.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Máslo,104.0
2006,"Zemědělství, lesnictví, rybářství",14421,Máslo,104.0
2006,"Profesní, vědecké a technické činnosti",23106,Máslo,104.0
2006,Informační a komunikační činnosti,34942,Máslo,104.0
2006,Doprava a skladování,18994,Máslo,104.0
2006,Zdravotní a sociální péče,17974,Máslo,104.0
2006,Peněžnictví a pojišťovnictví,39353,Máslo,104.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Máslo,104.0
2006,Ostatní činnosti,14955,Máslo,104.0
2006,Činnosti v oblasti nemovitostí,17551,Máslo,104.0
2006,Vzdělávání,18197,Máslo,104.0
2006,Administrativní a podpůrné činnosti,13414,Máslo,104.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Máslo,104.0
2006,Ostatní činnosti,14955,Mléko polotučné pasterované,14.0
2006,Činnosti v oblasti nemovitostí,17551,Mléko polotučné pasterované,14.0
2006,Vzdělávání,18197,Mléko polotučné pasterované,14.0
2006,Administrativní a podpůrné činnosti,13414,Mléko polotučné pasterované,14.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Mléko polotučné pasterované,14.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Mléko polotučné pasterované,14.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Mléko polotučné pasterované,14.0
2006,Těžba a dobývání,24018,Mléko polotučné pasterované,14.0
2006,"Ubytování, stravování a pohostinství",11106,Mléko polotučné pasterované,14.0
2006,Zpracovatelský průmysl,18277,Mléko polotučné pasterované,14.0
2006,Stavebnictví,17644,Mléko polotučné pasterované,14.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Mléko polotučné pasterované,14.0
2006,"Zemědělství, lesnictví, rybářství",14421,Mléko polotučné pasterované,14.0
2006,"Profesní, vědecké a technické činnosti",23106,Mléko polotučné pasterované,14.0
2006,Informační a komunikační činnosti,34942,Mléko polotučné pasterované,14.0
2006,Doprava a skladování,18994,Mléko polotučné pasterované,14.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Mléko polotučné pasterované,14.0
2006,Zdravotní a sociální péče,17974,Mléko polotučné pasterované,14.0
2006,Peněžnictví a pojišťovnictví,39353,Mléko polotučné pasterované,14.0
2006,Zpracovatelský průmysl,18277,Mrkev,14.0
2006,Stavebnictví,17644,Mrkev,14.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Mrkev,14.0
2006,"Zemědělství, lesnictví, rybářství",14421,Mrkev,14.0
2006,"Profesní, vědecké a technické činnosti",23106,Mrkev,14.0
2006,Informační a komunikační činnosti,34942,Mrkev,14.0
2006,Doprava a skladování,18994,Mrkev,14.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Mrkev,14.0
2006,Zdravotní a sociální péče,17974,Mrkev,14.0
2006,Peněžnictví a pojišťovnictví,39353,Mrkev,14.0
2006,Ostatní činnosti,14955,Mrkev,14.0
2006,Činnosti v oblasti nemovitostí,17551,Mrkev,14.0
2006,Vzdělávání,18197,Mrkev,14.0
2006,Administrativní a podpůrné činnosti,13414,Mrkev,14.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Mrkev,14.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Mrkev,14.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Mrkev,14.0
2006,Těžba a dobývání,24018,Mrkev,14.0
2006,"Ubytování, stravování a pohostinství",11106,Mrkev,14.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Papriky,35.0
2006,Těžba a dobývání,24018,Papriky,35.0
2006,"Ubytování, stravování a pohostinství",11106,Papriky,35.0
2006,Zpracovatelský průmysl,18277,Papriky,35.0
2006,Stavebnictví,17644,Papriky,35.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Papriky,35.0
2006,"Zemědělství, lesnictví, rybářství",14421,Papriky,35.0
2006,"Profesní, vědecké a technické činnosti",23106,Papriky,35.0
2006,Informační a komunikační činnosti,34942,Papriky,35.0
2006,Doprava a skladování,18994,Papriky,35.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Papriky,35.0
2006,Zdravotní a sociální péče,17974,Papriky,35.0
2006,Peněžnictví a pojišťovnictví,39353,Papriky,35.0
2006,Ostatní činnosti,14955,Papriky,35.0
2006,Činnosti v oblasti nemovitostí,17551,Papriky,35.0
2006,Vzdělávání,18197,Papriky,35.0
2006,Administrativní a podpůrné činnosti,13414,Papriky,35.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Papriky,35.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Papriky,35.0
2006,Ostatní činnosti,14955,Pečivo pšeničné bílé,39.0
2006,Činnosti v oblasti nemovitostí,17551,Pečivo pšeničné bílé,39.0
2006,Vzdělávání,18197,Pečivo pšeničné bílé,39.0
2006,Administrativní a podpůrné činnosti,13414,Pečivo pšeničné bílé,39.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Pečivo pšeničné bílé,39.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Pečivo pšeničné bílé,39.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Pečivo pšeničné bílé,39.0
2006,Těžba a dobývání,24018,Pečivo pšeničné bílé,39.0
2006,"Ubytování, stravování a pohostinství",11106,Pečivo pšeničné bílé,39.0
2006,Zpracovatelský průmysl,18277,Pečivo pšeničné bílé,39.0
2006,Stavebnictví,17644,Pečivo pšeničné bílé,39.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Pečivo pšeničné bílé,39.0
2006,"Zemědělství, lesnictví, rybářství",14421,Pečivo pšeničné bílé,39.0
2006,"Profesní, vědecké a technické činnosti",23106,Pečivo pšeničné bílé,39.0
2006,Informační a komunikační činnosti,34942,Pečivo pšeničné bílé,39.0
2006,Doprava a skladování,18994,Pečivo pšeničné bílé,39.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Pečivo pšeničné bílé,39.0
2006,Zdravotní a sociální péče,17974,Pečivo pšeničné bílé,39.0
2006,Peněžnictví a pojišťovnictví,39353,Pečivo pšeničné bílé,39.0
2006,"Zemědělství, lesnictví, rybářství",14421,"Pivo výčepní, světlé, lahvové",8.0
2006,"Profesní, vědecké a technické činnosti",23106,"Pivo výčepní, světlé, lahvové",8.0
2006,Informační a komunikační činnosti,34942,"Pivo výčepní, světlé, lahvové",8.0
2006,Doprava a skladování,18994,"Pivo výčepní, světlé, lahvové",8.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,"Pivo výčepní, světlé, lahvové",8.0
2006,Zdravotní a sociální péče,17974,"Pivo výčepní, světlé, lahvové",8.0
2006,Peněžnictví a pojišťovnictví,39353,"Pivo výčepní, světlé, lahvové",8.0
2006,Ostatní činnosti,14955,"Pivo výčepní, světlé, lahvové",8.0
2006,Činnosti v oblasti nemovitostí,17551,"Pivo výčepní, světlé, lahvové",8.0
2006,Vzdělávání,18197,"Pivo výčepní, světlé, lahvové",8.0
2006,Administrativní a podpůrné činnosti,13414,"Pivo výčepní, světlé, lahvové",8.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,"Pivo výčepní, světlé, lahvové",8.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,"Pivo výčepní, světlé, lahvové",8.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,"Pivo výčepní, světlé, lahvové",8.0
2006,Těžba a dobývání,24018,"Pivo výčepní, světlé, lahvové",8.0
2006,"Ubytování, stravování a pohostinství",11106,"Pivo výčepní, světlé, lahvové",8.0
